"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Nash County, North Carolina",,,"95,840",,,"95,837","95,875","95,758","95,320","94,560","94,357"
"New Hanover County, North Carolina",,,"202,667",,,"202,683","203,335","205,972","209,134","213,190","216,298"
"Northampton County, North Carolina",,,"22,099",,,"22,098","22,007","21,967","21,311","20,803","20,463"
"Onslow County, North Carolina",,,"177,772",,,"177,772","179,563","177,895","183,888","185,669","187,589"
"Orange County, North Carolina",,,"133,801",,,"133,702","134,051","134,813","137,728","139,365","140,420"
"Pamlico County, North Carolina",,,"13,144",,,"13,144","13,106","13,298","13,045","12,914","12,948"
"Pasquotank County, North Carolina",,,"40,661",,,"40,661","40,713","40,378","40,528","39,761","39,787"
"Pender County, North Carolina",,,"52,217",,,"52,201","52,399","53,362","53,967","55,111","56,250"
"Perquimans County, North Carolina",,,"13,453",,,"13,453","13,477","13,456","13,532","13,603","13,466"
"Person County, North Carolina",,,"39,464",,,"39,464","39,429","39,525","39,179","39,248","39,132"
"Pitt County, North Carolina",,,"168,148",,,"168,148","168,826","170,763","172,895","174,351","175,354"
"Polk County, North Carolina",,,"20,510",,,"20,510","20,446","20,290","20,248","20,419","20,357"
"Randolph County, North Carolina",,,"141,752",,,"141,752","141,957","141,865","142,326","142,456","142,778"
"Richmond County, North Carolina",,,"46,639",,,"46,639","46,624","46,621","46,381","46,224","45,733"
"Robeson County, North Carolina",,,"134,168",,,"134,168","134,425","135,056","135,368","134,956","134,760"
"Rockingham County, North Carolina",,,"93,643",,,"93,640","93,604","93,160","92,646","91,905","91,696"
"Rowan County, North Carolina",,,"138,428",,,"138,442","138,329","138,043","137,915","138,313","138,630"
"Rutherford County, North Carolina",,,"67,810",,,"67,809","67,781","67,403","67,243","66,879","66,600"
"Sampson County, North Carolina",,,"63,431",,,"63,431","63,517","63,650","63,895","64,098","64,050"
"Scotland County, North Carolina",,,"36,157",,,"36,157","36,099","36,332","36,157","36,006","35,576"
"Stanly County, North Carolina",,,"60,585",,,"60,585","60,562","60,480","60,493","60,630","60,600"
"Stokes County, North Carolina",,,"47,401",,,"47,401","47,339","47,191","46,756","46,587","46,419"
"Surry County, North Carolina",,,"73,673",,,"73,673","73,714","73,644","73,568","73,062","72,968"
"Swain County, North Carolina",,,"13,981",,,"13,981","13,991","13,992","14,080","14,014","14,274"
"Transylvania County, North Carolina",,,"33,090",,,"33,090","33,073","32,819","32,854","32,925","33,045"
"Tyrrell County, North Carolina",,,"4,407",,,"4,407","4,409","4,333","4,131","4,105","4,115"
"Union County, North Carolina",,,"201,292",,,"201,307","202,171","205,109","208,393","212,696","218,568"
"Vance County, North Carolina",,,"45,422",,,"45,419","45,314","45,258","45,074","44,730","44,614"
"Wake County, North Carolina",,,"900,993",,,"901,018","906,908","929,330","952,611","975,024","998,691"
"Warren County, North Carolina",,,"20,972",,,"20,975","20,920","20,928","20,594","20,467","20,231"
"Washington County, North Carolina",,,"13,228",,,"13,218","13,169","12,957","12,726","12,765","12,570"
"Watauga County, North Carolina",,,"51,079",,,"51,079","50,993","51,583","52,064","52,317","52,560"
"Wayne County, North Carolina",,,"122,623",,,"122,623","122,888","124,022","124,504","124,596","124,456"
"Wilkes County, North Carolina",,,"69,340",,,"69,340","69,223","69,181","69,210","69,012","68,838"
"Wilson County, North Carolina",,,"81,234",,,"81,234","81,277","81,449","81,768","81,598","81,401"
"Yadkin County, North Carolina",,,"38,406",,,"38,406","38,394","38,252","38,056","38,009","37,792"
"Yancey County, North Carolina",,,"17,818",,,"17,818","17,808","17,692","17,633","17,564","17,614"
"Adams County, North Dakota",,,"2,343",,,"2,343","2,344","2,299","2,302","2,366","2,384"
"Barnes County, North Dakota",,,"11,066",,,"11,066","11,059","11,101","11,013","11,162","11,144"
"Benson County, North Dakota",,,"6,660",,,"6,660","6,666","6,687","6,762","6,874","6,833"
"Billings County, North Dakota",,,783,,,783,771,836,913,891,901
"Bottineau County, North Dakota",,,"6,429",,,"6,429","6,426","6,505","6,583","6,733","6,650"
"Bowman County, North Dakota",,,"3,151",,,"3,151","3,140","3,140","3,220","3,212","3,247"
"Burke County, North Dakota",,,"1,968",,,"1,968","1,965","2,056","2,170","2,291","2,245"
"Burleigh County, North Dakota",,,"81,308",,,"81,308","81,689","83,582","86,073","88,709","90,503"
"Cass County, North Dakota",,,"149,778",,,"149,778","150,278","152,878","156,839","163,207","167,005"
"Cavalier County, North Dakota",,,"3,993",,,"3,993","3,982","3,953","3,943","3,875","3,855"
"Dickey County, North Dakota",,,"5,289",,,"5,289","5,280","5,264","5,245","5,231","5,150"
"Divide County, North Dakota",,,"2,071",,,"2,071","2,074","2,139","2,233","2,315","2,432"
"Dunn County, North Dakota",,,"3,536",,,"3,536","3,541","3,751","3,974","4,162","4,399"
"Eddy County, North Dakota",,,"2,385",,,"2,385","2,383","2,354","2,377","2,406","2,377"
"Emmons County, North Dakota",,,"3,550",,,"3,550","3,543","3,525","3,483","3,481","3,422"
"Foster County, North Dakota",,,"3,343",,,"3,343","3,343","3,352","3,392","3,372","3,362"
"Golden Valley County, North Dakota",,,"1,680",,,"1,680","1,679","1,746","1,799","1,815","1,825"
"Grand Forks County, North Dakota",,,"66,861",,,"66,861","66,943","66,626","67,701","69,311","70,138"
"Grant County, North Dakota",,,"2,394",,,"2,394","2,389","2,356","2,337","2,371","2,361"
"Griggs County, North Dakota",,,"2,420",,,"2,420","2,407","2,369","2,351","2,292","2,319"
"Hettinger County, North Dakota",,,"2,477",,,"2,477","2,472","2,522","2,553","2,668","2,660"
"Kidder County, North Dakota",,,"2,435",,,"2,435","2,439","2,446","2,434","2,429","2,424"
"LaMoure County, North Dakota",,,"4,139",,,"4,139","4,129","4,121","4,103","4,133","4,149"
"Logan County, North Dakota",,,"1,990",,,"1,990","1,999","1,967","1,932","1,932","1,944"
"McHenry County, North Dakota",,,"5,395",,,"5,395","5,395","5,483","5,784","5,904","5,988"
"McIntosh County, North Dakota",,,"2,809",,,"2,809","2,816","2,784","2,774","2,764","2,801"
"McKenzie County, North Dakota",,,"6,360",,,"6,360","6,395","7,012","7,965","9,297","10,996"
"McLean County, North Dakota",,,"8,962",,,"8,962","8,991","9,081","9,371","9,476","9,578"
"Mercer County, North Dakota",,,"8,424",,,"8,424","8,411","8,419","8,486","8,596","8,746"
"Morton County, North Dakota",,,"27,471",,,"27,471","27,565","27,720","28,045","28,989","29,822"
"Mountrail County, North Dakota",,,"7,673",,,"7,673","7,725","8,110","8,750","9,346","9,782"
"Nelson County, North Dakota",,,"3,126",,,"3,126","3,118","3,065","3,081","3,079","3,045"
"Oliver County, North Dakota",,,"1,846",,,"1,846","1,833","1,845","1,832","1,869","1,850"
"Pembina County, North Dakota",,,"7,413",,,"7,413","7,396","7,383","7,261","7,164","7,128"
"Pierce County, North Dakota",,,"4,357",,,"4,357","4,361","4,387","4,466","4,392","4,404"
"Ramsey County, North Dakota",,,"11,451",,,"11,451","11,445","11,504","11,555","11,543","11,564"
"Ransom County, North Dakota",,,"5,457",,,"5,457","5,431","5,420","5,474","5,490","5,446"
"Renville County, North Dakota",,,"2,470",,,"2,470","2,476","2,495","2,554","2,616","2,587"
"Richland County, North Dakota",,,"16,321",,,"16,321","16,317","16,255","16,210","16,321","16,432"
"Rolette County, North Dakota",,,"13,937",,,"13,937","13,993","14,138","14,350","14,607","14,616"
"Sargent County, North Dakota",,,"3,829",,,"3,829","3,805","3,804","3,895","3,880","3,931"
"Sheridan County, North Dakota",,,"1,321",,,"1,321","1,311","1,310","1,270","1,313","1,326"
"Sioux County, North Dakota",,,"4,153",,,"4,153","4,146","4,246","4,343","4,426","4,422"
"Slope County, North Dakota",,,727,,,727,727,721,759,761,765
"Stark County, North Dakota",,,"24,199",,,"24,199","24,353","25,168","26,921","28,377","30,372"
"Steele County, North Dakota",,,"1,975",,,"1,975","1,974","2,030","1,993","1,960","1,955"
"Stutsman County, North Dakota",,,"21,100",,,"21,100","21,114","20,989","20,958","21,090","21,129"
"Towner County, North Dakota",,,"2,246",,,"2,246","2,238","2,294","2,323","2,297","2,310"
"Traill County, North Dakota",,,"8,121",,,"8,121","8,113","8,053","8,073","8,210","8,082"
"Walsh County, North Dakota",,,"11,119",,,"11,119","11,095","11,037","11,054","11,106","10,970"
"Ward County, North Dakota",,,"61,675",,,"61,675","62,090","64,318","65,480","67,998","69,384"
"Wells County, North Dakota",,,"4,207",,,"4,207","4,197","4,217","4,260","4,185","4,192"
"Williams County, North Dakota",,,"22,398",,,"22,398","22,573","24,379","26,686","29,563","32,130"
"Adams County, Ohio",,,"28,550",,,"28,550","28,568","28,523","28,366","28,126","28,129"
"Allen County, Ohio",,,"106,331",,,"106,331","106,364","105,907","105,283","105,214","105,040"
"Ashland County, Ohio",,,"53,139",,,"53,139","53,329","53,288","53,240","53,117","53,035"
"Ashtabula County, Ohio",,,"101,497",,,"101,497","101,409","101,101","100,264","99,779","99,175"
"Athens County, Ohio",,,"64,757",,,"64,773","65,218","65,117","64,638","64,515","64,713"
"Auglaize County, Ohio",,,"45,949",,,"45,949","45,936","45,815","45,866","45,876","45,841"
"Belmont County, Ohio",,,"70,400",,,"70,400","70,290","70,045","69,624","69,545","69,461"
"Brown County, Ohio",,,"44,846",,,"44,846","44,886","44,678","44,404","44,235","44,116"
"Butler County, Ohio",,,"368,130",,,"368,130","369,056","370,210","370,833","371,511","374,158"
"Carroll County, Ohio",,,"28,836",,,"28,836","28,804","28,871","28,560","28,271","28,187"
"Champaign County, Ohio",,,"40,097",,,"40,097","40,074","39,878","39,586","39,475","39,128"
"Clark County, Ohio",,,"138,333",,,"138,333","138,227","137,738","137,194","136,803","136,554"
"Clermont County, Ohio",,,"197,363",,,"197,363","197,638","198,581","199,219","200,254","201,560"
"Clinton County, Ohio",,,"42,040",,,"42,037","41,892","41,906","41,831","41,889","41,835"
"Columbiana County, Ohio",,,"107,841",,,"107,841","107,843","107,260","106,438","105,885","105,686"
"Coshocton County, Ohio",,,"36,901",,,"36,901","36,914","36,903","36,806","36,700","36,516"
"Crawford County, Ohio",,,"43,784",,,"43,784","43,778","43,307","42,847","42,770","42,480"
"Cuyahoga County, Ohio",,,"1,280,122",,,"1,280,109","1,278,172","1,269,839","1,265,889","1,263,837","1,259,828"
"Darke County, Ohio",,,"52,959",,,"52,959","52,958","52,672","52,506","52,351","52,196"
"Defiance County, Ohio",,,"39,037",,,"39,035","39,106","39,024","38,818","38,515","38,510"
"Delaware County, Ohio",,,"174,214",,,"174,189","175,108","178,537","181,147","185,202","189,113"
"Erie County, Ohio",,,"77,079",,,"77,079","77,013","76,662","76,442","76,134","75,828"
"Fairfield County, Ohio",,,"146,156",,,"146,152","146,391","147,319","147,446","148,797","150,381"
"Fayette County, Ohio",,,"29,030",,,"29,030","29,017","28,907","28,850","28,799","28,800"
"Franklin County, Ohio",,,"1,163,414",,,"1,163,543","1,166,107","1,179,691","1,196,936","1,213,834","1,231,393"
"Fulton County, Ohio",,,"42,698",,,"42,698","42,660","42,529","42,516","42,418","42,580"
"Gallia County, Ohio",,,"30,934",,,"30,934","31,057","30,960","30,805","30,597","30,397"
"Geauga County, Ohio",,,"93,389",,,"93,410","93,422","93,403","93,917","94,059","94,295"
"Greene County, Ohio",,,"161,573",,,"161,569","161,614","163,522","164,145","163,465","163,820"
"Guernsey County, Ohio",,,"40,087",,,"40,087","40,102","39,847","39,813","39,614","39,590"
"Hamilton County, Ohio",,,"802,374",,,"802,374","802,298","800,648","802,355","804,429","806,631"
"Hancock County, Ohio",,,"74,782",,,"74,782","74,674","75,080","75,647","75,712","75,337"
"Hardin County, Ohio",,,"32,058",,,"32,058","32,102","31,821","31,643","31,767","31,796"
"Harrison County, Ohio",,,"15,864",,,"15,864","15,840","15,788","15,694","15,624","15,543"
"Henry County, Ohio",,,"28,215",,,"28,215","28,102","28,210","28,060","28,061","27,937"
"Highland County, Ohio",,,"43,589",,,"43,589","43,598","43,428","43,024","43,233","43,045"
"Hocking County, Ohio",,,"29,380",,,"29,375","29,466","29,466","29,291","28,608","28,725"
"Holmes County, Ohio",,,"42,366",,,"42,366","42,467","42,777","43,105","43,635","43,898"
"Huron County, Ohio",,,"59,626",,,"59,626","59,599","59,431","59,295","58,889","58,714"
"Jackson County, Ohio",,,"33,225",,,"33,225","33,238","33,116","32,873","32,784","32,748"
"Jefferson County, Ohio",,,"69,709",,,"69,709","69,613","68,889","68,347","68,007","67,694"
"Knox County, Ohio",,,"60,921",,,"60,930","61,095","61,311","60,817","60,923","61,167"
"Lake County, Ohio",,,"230,041",,,"230,038","229,993","229,787","229,365","229,634","229,230"
"Lawrence County, Ohio",,,"62,450",,,"62,450","62,445","62,406","62,108","61,918","61,623"
"Licking County, Ohio",,,"166,492",,,"166,482","166,707","167,234","167,719","168,503","169,390"
"Logan County, Ohio",,,"45,858",,,"45,858","45,774","45,621","45,454","45,466","45,507"
"Lorain County, Ohio",,,"301,356",,,"301,356","301,478","301,932","301,695","303,006","304,216"
"Lucas County, Ohio",,,"441,815",,,"441,815","441,599","439,771","437,376","436,803","435,286"
"Madison County, Ohio",,,"43,435",,,"43,430","43,412","43,071","42,959","43,272","43,918"
"Mahoning County, Ohio",,,"238,823",,,"238,823","238,406","237,314","235,787","234,336","233,204"
"Marion County, Ohio",,,"66,501",,,"66,501","66,450","66,542","66,235","65,910","65,720"
"Medina County, Ohio",,,"172,332",,,"172,333","172,493","173,438","173,704","174,792","176,029"
"Meigs County, Ohio",,,"23,770",,,"23,771","23,724","23,695","23,600","23,470","23,331"
"Mercer County, Ohio",,,"40,814",,,"40,814","40,767","40,795","40,827","40,724","40,831"
"Miami County, Ohio",,,"102,506",,,"102,506","102,456","102,833","103,118","103,416","103,900"
"Monroe County, Ohio",,,"14,642",,,"14,642","14,583","14,722","14,579","14,601","14,465"
"Montgomery County, Ohio",,,"535,153",,,"535,141","536,175","534,979","534,971","534,764","533,116"
"Morgan County, Ohio",,,"15,054",,,"15,048","15,053","15,077","14,945","14,967","14,843"
"Morrow County, Ohio",,,"34,827",,,"34,827","34,833","34,929","35,003","35,038","35,152"
"Muskingum County, Ohio",,,"86,074",,,"86,074","86,185","86,199","85,838","85,696","85,818"
"Noble County, Ohio",,,"14,645",,,"14,645","14,629","14,696","14,577","14,541","14,363"
"Ottawa County, Ohio",,,"41,428",,,"41,434","41,408","41,436","41,361","41,160","41,154"
"Paulding County, Ohio",,,"19,614",,,"19,614","19,583","19,411","19,287","19,194","18,989"
"Perry County, Ohio",,,"36,058",,,"36,052","36,037","36,223","35,997","35,932","35,812"
"Pickaway County, Ohio",,,"55,698",,,"55,698","55,725","55,983","56,346","56,466","56,876"
"Pike County, Ohio",,,"28,709",,,"28,709","28,736","28,633","28,501","28,392","28,256"
"Portage County, Ohio",,,"161,419",,,"161,421","161,355","161,770","161,336","161,423","161,882"
"Preble County, Ohio",,,"42,270",,,"42,270","42,188","42,036","41,895","41,728","41,586"
"Putnam County, Ohio",,,"34,499",,,"34,499","34,448","34,382","34,181","34,098","34,171"
"Richland County, Ohio",,,"124,475",,,"124,475","124,175","123,070","122,588","122,292","121,942"
"Ross County, Ohio",,,"78,064",,,"78,064","78,126","77,627","77,485","77,364","77,159"
"Sandusky County, Ohio",,,"60,944",,,"60,944","60,907","60,644","60,560","60,200","60,179"
"Scioto County, Ohio",,,"79,499",,,"79,499","79,531","79,218","78,572","78,023","77,258"
"Seneca County, Ohio",,,"56,745",,,"56,745","56,631","56,420","56,025","55,756","55,669"
"Shelby County, Ohio",,,"49,423",,,"49,423","49,348","49,270","49,142","49,112","48,951"
"Stark County, Ohio",,,"375,586",,,"375,584","375,398","374,248","374,844","375,222","375,736"
"Summit County, Ohio",,,"541,781",,,"541,786","541,612","541,111","540,867","541,787","541,943"
"Trumbull County, Ohio",,,"210,312",,,"210,307","209,897","208,991","207,439","206,480","205,175"
"Tuscarawas County, Ohio",,,"92,582",,,"92,582","92,546","92,492","92,488","92,767","92,788"
"Union County, Ohio",,,"52,300",,,"52,267","52,391","53,087","52,815","53,380","53,776"
"Van Wert County, Ohio",,,"28,744",,,"28,744","28,673","28,703","28,729","28,494","28,462"
"Vinton County, Ohio",,,"13,435",,,"13,435","13,417","13,397","13,233","13,313","13,234"
"Warren County, Ohio",,,"212,693",,,"212,868","213,485","215,740","217,653","219,578","221,659"
"Washington County, Ohio",,,"61,778",,,"61,778","61,691","61,559","61,508","61,393","61,213"
"Wayne County, Ohio",,,"114,520",,,"114,514","114,501","114,718","114,990","115,144","115,537"
"Williams County, Ohio",,,"37,642",,,"37,642","37,529","37,594","37,568","37,485","37,291"
"Wood County, Ohio",,,"125,488",,,"125,488","125,942","127,296","128,659","129,209","129,590"
"Wyandot County, Ohio",,,"22,615",,,"22,615","22,583","22,652","22,592","22,497","22,353"
"Adair County, Oklahoma",,,"22,683",,,"22,683","22,720","22,513","22,248","22,235","22,186"
"Alfalfa County, Oklahoma",,,"5,642",,,"5,642","5,628","5,637","5,643","5,817","5,790"
"Atoka County, Oklahoma",,,"14,182",,,"14,183","14,151","14,100","13,960","13,785","13,796"
"Beaver County, Oklahoma",,,"5,636",,,"5,636","5,648","5,640","5,592","5,540","5,486"
"Beckham County, Oklahoma",,,"22,119",,,"22,119","22,035","22,312","23,117","23,548","23,691"
